Values,Methods
0.682829028,Zscore
0.504952193,Zscore
0.727614212,Zscore
0.365660639,Zscore
-0.092208661,Zscore
-0.096632986,Zscore
-1.11474766,Zscore
-1.346583638,Zscore
0.492981331,Zscore
0.234572524,Zscore
1.092177421,Zscore
1.050377308,Zscore
0.458236424,Zscore
-1.338046013,Zscore
0.873606217,Zscore
-0.903576526,Zscore
-0.228639914,Zscore
-0.478448598,Zscore
-0.968087735,Zscore
-0.96249393,Zscore
0.205620947,Zscore
0.26522639,Zscore
-0.925598457,Zscore
-0.141585207,Zscore
-0.373411633,Zscore
-0.500272694,Zscore
-2.076711598,Zscore
-1.124422841,Zscore
-0.379141,Zscore
-0.069163266,Zscore
-1.096765064,Zscore
-1.265541004,Zscore
0.688204429,Zscore
0.097514716,Zscore
0.234155384,Zscore
-0.043791054,Zscore
0.402473044,Zscore
0.700165738,Zscore
0.238216076,Zscore
0.086702993,Zscore
-0.058403137,Zscore
-0.13998802,Zscore
-0.803068875,Zscore
0.496540352,Zscore
0.694237071,Zscore
0.325165569,Zscore
1.127005395,Zscore
1.237563777,Zscore
0.315918095,Zscore
-0.48831161,Zscore
1.124427348,Zscore
0.442884032,Zscore
0.73329157,Zscore
-0.200773397,Zscore
0.230397965,Zscore
0.366704673,Zscore
-0.068974871,Zscore
-0.355824143,Zscore
0.045977826,Zscore
-0.035430355,Zscore
-0.092709207,Zscore
-0.616863492,Zscore
-0.838172135,Zscore
-0.697134231,Zscore
-0.24395004,Zscore
2.257776184,Zscore
2.199914057,Zscore
1.673098206,Zscore
-1.006537791,Zscore
-0.953225762,Zscore
-0.649624983,Zscore
-0.763826128,Zscore
0.016878543,Zscore
-0.147002649,Zscore
-0.564271889,Zscore
-0.551059046,Zscore
0.896713884,Zscore
0.381691968,Zscore
0.229020196,Zscore
0.605084293,Zscore
1.457950913,Zsap
1.038897973,Zsap
1.186799011,Zsap
0.858130038,Zsap
0.611628308,Zsap
-0.768781378,Zsap
-1.368602253,Zsap
-1.70548795,Zsap
0.554111238,Zsap
0.693795551,Zsap
0.940297281,Zsap
1.063548146,Zsap
0.940297281,Zsap
-1.984856577,Zsap
1.482601086,Zsap
-1.524720015,Zsap
-0.407245508,Zsap
-0.366161886,Zsap
-1.007066383,Zsap
-0.415462232,Zsap
-0.111443432,Zsap
-0.053926362,Zsap
-1.606887258,Zsap
-0.43189568,Zsap
0.521244341,Zsap
0.23365899,Zsap
-1.804088642,Zsap
-1.196051042,Zsap
-0.242911021,Zsap
-0.242911021,Zsap
-0.949549313,Zsap
-1.171400869,Zsap
0.923863832,Zsap
0.167925195,Zsap
0.200792092,Zsap
-0.185393951,Zsap
-0.957766037,Zsap
0.118624849,Zsap
-0.842731897,Zsap
-1.245351388,Zsap
0.307609508,Zsap
-0.916682415,Zsap
-1.113883799,Zsap
0.529461065,Zsap
0.808829692,Zsap
0.365126579,Zsap
1.178582286,Zsap
1.67980247,Zsap
0.841696589,Zsap
-0.242911021,Zsap
1.351133497,Zsap
0.389776752,Zsap
1.696235919,Zsap
-0.160743778,Zsap
0.365126579,Zsap
0.365126579,Zsap
-1.015283107,Zsap
-1.245351388,Zsap
-1.031716556,Zsap
-1.196051042,Zsap
-0.01284274,Zsap
-0.481196026,Zsap
-0.703047583,Zsap
-0.37437861,Zsap
-1.713704674,Zsap
2.419307659,Zsap
1.860570405,Zsap
1.597635227,Zsap
-0.579796718,Zsap
-0.629097064,Zsap
-0.670180686,Zsap
-0.785214826,Zsap
0.480160719,Zsap
0.529461065,Zsap
-0.127876881,Zsap
0.381560027,Zsap
1.137498665,Zsap
0.628061757,Zsap
0.496594168,Zsap
1.186799011,Zsap
-0.264542165,Zbio
-0.147648205,Zbio
0.166388348,Zbio
-0.236246405,Zbio
-0.952453845,Zbio
0.724881714,Zbio
-0.804480935,Zbio
-0.907922813,Zbio
0.418267001,Zbio
-0.326700065,Zbio
1.277808702,Zbio
1.034279618,Zbio
-0.130949068,Zbio
-0.547499768,Zbio
0.129279154,Zbio
-0.14440115,Zbio
-0.010344188,Zbio
-0.615687912,Zbio
-0.920447166,Zbio
-1.631088227,Zbio
0.593144076,Zbio
0.655301976,Zbio
-0.092912144,Zbio
0.213238705,Zbio
-1.466880045,Zbio
-1.397300306,Zbio
-2.409917432,Zbio
-1.036877261,Zbio
-0.545644308,Zbio
0.143195102,Zbio
-1.276695426,Zbio
-1.380601169,Zbio
0.400176269,Zbio
0.011457464,Zbio
0.27493274,Zbio
0.129279154,Zbio
2.064987476,Zbio
1.410937935,Zbio
1.55937471,Zbio
1.714769459,Zbio
-0.505751925,Zbio
0.80930513,Zbio
-0.423183969,Zbio
0.456303924,Zbio
0.554179423,Zbio
0.276324334,Zbio
1.063966973,Zbio
0.697049819,Zbio
-0.326700065,Zbio
-0.788245663,Zbio
0.847342054,Zbio
0.507792931,Zbio
-0.443640412,Zbio
-0.249698488,Zbio
0.06572966,Zbio
0.368633454,Zbio
1.087624084,Zbio
0.731375823,Zbio
1.363159848,Zbio
1.38310604,Zbio
-0.190323778,Zbio
-0.782679284,Zbio
-1.003324365,Zbio
-1.091613322,Zbio
1.552416736,Zbio
2.060348826,Zbio
2.614667409,Zbio
1.765330736,Zbio
-1.528110214,Zbio
-1.34938306,Zbio
-0.624501345,Zbio
-0.737684386,Zbio
-0.549355228,Zbio
-0.973791632,Zbio
-1.097643566,Zbio
-1.690926802,Zbio
0.602421375,Zbio
0.080573337,Zbio
-0.098014658,Zbio
-0.105900362,Zbio
