Variety,Fv,CO2R,RH_R,PARo,Fv/Fm
68,441.1681214,152.198946,24.61681199,806.6366043,0.785696682
81,406.2847786,153.0060902,29.1295197,1228.379989,0.738374816
895,424.0193882,153.3684807,28.79120493,697.2903976,0.767218493
DD102-4,470.380846,222.8208733,24.89394081,523.3797989,0.804729438
FLEVO,473.5804787,152.3230782,29.10180557,578.0772972,0.760065166
I-214,575.3413219,223.5759516,24.47814131,295.0812607,0.814278765
I-45-51,451.2913265,222.9383803,24.79662979,748.1395873,0.793090342
I-63,482.3004608,153.0969753,28.87544358,600.5149994,0.707039263
I-69,402.2439652,148.0217133,28.45751143,1052.787109,0.680231023
I-72,404.9507294,147.4575119,28.39660406,857.4568443,0.654929738
L04-13,374.7441597,159.117836,24.67786467,712.4211273,0.742728074
L04-17,467.8761616,221.0945673,27.02525878,551.3306809,0.797365076
Lushan Poplar,395.8343697,220.9876185,26.65484333,752.5982971,0.785868985
P. Canadensis ,465.6767235,151.2205029,29.73470461,1118.749802,0.78667727
P. Danhong,350.1319199,148.2069702,28.42854548,802.7012558,0.65196847
P. Juba,316.1739807,148.7230759,28.40232039,1080.276848,0.620998866
P. Ningshanica,483.1794872,172.6974136,24.93645847,485.2606201,0.792101896
Populus 2025,296.5381851,149.9590225,26.36877203,930.4633674,0.716794988
RASPACTE,448.1123963,147.9447327,28.69870901,1349.270844,0.69767326
TRIPLO,527.7604485,237.7353449,26.14268053,280.7523403,0.81926502
