Variety,Fm,Fv,H2OS,qN_Fo,H2OS/H2OR,RH_S/RH_R,Zscore
2L2025,402.9447937,296.5381851,19.71580648,1.417503867,1.021103672,1.021593555,0.570264018
Canadensis ,590.9477845,465.6767235,19.595649,1.27277649,1.037287587,1.037788437,-0.31136376
Danhong,544.7670288,350.1319199,20.81077051,1.537589421,1.00947722,1.009901393,0.714574083
DD102-4,583.7099915,470.380846,17.86187613,1.243973028,1.097546254,1.096838355,-0.659417544
Flevo,621.5926972,473.5804787,19.17922908,1.318725942,1.016491503,1.016703454,-0.149084082
I-214,706.985672,575.3413219,16.73945629,1.228876564,1.055283064,1.055383217,-1.018704692
I-45-51,567.3996277,451.2913265,17.07652557,1.262079889,1.057989058,1.057996524,-0.702652584
I-63,691.960968,482.3004608,19.86062562,1.426479698,1.049383715,1.049120487,0.244020869
I-69,601.9098587,402.2439652,21.09428549,1.487732926,1.023104385,1.023424453,0.356889463
I-72,617.7488862,404.9507294,20.90810537,1.528221309,1.016864798,1.017227181,-0.12622992
Juba,511.9998474,316.1739807,20.83471251,1.611527601,1.014922831,1.015283313,0.528127585
LH04-13,495.9050446,374.7441597,18.43704927,1.359290781,1.032266013,1.032952961,0.845992953
LH04-17,586.0302429,467.8761616,18.59261978,1.255602633,1.052245261,1.05226529,0.348729466
LS68,559.9017868,441.1681214,17.72877765,1.274443445,1.006657201,1.007644731,-0.662543236
LS81,548.9426193,406.2847786,17.92238986,1.356028085,0.995108784,0.993917779,0.717527146
Lushan,503.8093262,395.8343697,18.12504852,1.273043143,0.974502941,0.972352097,0.282405203
Ningshanica,608.5026703,483.1794872,18.01605904,1.263171275,1.023660143,1.025966242,-0.843303666
NL895,552.8463287,424.0193882,17.57594639,1.303623052,1.004952059,1.0034457,-0.227444975
Raspalje,647.5167999,448.1123963,20.56365633,1.464203176,1.025911971,1.02597512,-0.103562886
Triplo,643.5556641,527.7604485,16.87072158,1.220949493,1.101223797,1.098469376,-0.561219766
